District code,State name,District name,Population,Male,Female,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Illiterate_Education,Age not stated,literate education,age 0-29,age 30-49,age 50>
1,JAMMU AND KASHMIR,Kupwara,870354,474190,396164,37128,823286,1700,5600,66,39,289765,1481,580589,600759,178435,89679
2,JAMMU AND KASHMIR,Badgam,753745,398041,355704,10110,736054,1489,5559,47,6,342646,611,411099,503223,160933,88978
3,JAMMU AND KASHMIR,Leh(Ladakh),133487,78971,54516,22882,19057,658,1092,88635,103,32637,250,100850,70703,41515,21019
4,JAMMU AND KASHMIR,Kargil,140802,77785,63017,10341,108239,604,1171,20126,28,39854,221,100948,87532,35561,17488
5,JAMMU AND KASHMIR,Punch,476835,251899,224936,32604,431279,958,11188,83,10,164044,704,312791,304979,109818,61334
6,JAMMU AND KASHMIR,Rajouri,642415,345351,297064,221880,402879,983,15513,189,26,242306,1028,400109,404903,153165,83319
7,JAMMU AND KASHMIR,Kathua,616435,326109,290326,540063,64234,1828,9551,24,16,181297,764,435138,357864,160123,97684
8,JAMMU AND KASHMIR,Baramula,1008039,534733,473306,30621,959185,1497,14770,140,29,350119,1343,657920,636524,239659,130513
9,JAMMU AND KASHMIR,Bandipore,392232,207680,184552,8439,382006,572,555,44,17,163648,587,228584,252378,90465,48802
10,JAMMU AND KASHMIR,Srinagar,1236829,651124,585705,42540,1177342,2746,12187,285,74,310225,1700,926604,693238,351561,190330
11,JAMMU AND KASHMIR,Ganderbal,297446,158720,138726,5592,290581,406,486,25,8,116734,425,180712,194165,66945,35911
12,JAMMU AND KASHMIR,Pulwama,560440,293064,267376,13840,535159,1109,9440,35,6,190369,696,370071,342601,137032,80111
13,JAMMU AND KASHMIR,Shupiyan,266215,136480,129735,3116,262263,429,178,6,1,107053,219,159162,170086,60752,35158
14,JAMMU AND KASHMIR,Anantnag,1078692,559767,518925,13180,1057005,1449,6140,55,7,337265,1040,741427,704145,239988,133519
15,JAMMU AND KASHMIR,Kulgam,424483,217620,206863,4267,418076,460,1035,27,25,175199,502,249284,266858,99870,57253
16,JAMMU AND KASHMIR,Doda,409936,213641,196295,187621,220614,472,422,21,22,163565,427,246371,263576,93189,52744
17,JAMMU AND KASHMIR,Ramban,283713,149132,134581,81026,200516,414,753,43,3,141812,363,141901,188526,61604,33220
18,JAMMU AND KASHMIR,Kishtwar,230696,120165,110531,93931,133225,277,450,2094,3,101166,266,129530,145931,53415,31084
19,JAMMU AND KASHMIR,Udhampur,554985,296784,258201,489044,59771,1962,3418,106,57,194838,298,360147,339145,140785,74757
20,JAMMU AND KASHMIR,Reasi,314667,166461,148206,153898,156275,1208,3107,15,7,143293,190,171374,203967,70767,39743
21,JAMMU AND KASHMIR,Jammu,1529958,813821,716137,1289240,107489,12104,114272,470,1987,268279,1651,1261679,816827,435895,275585
22,JAMMU AND KASHMIR,Samba,318898,169124,149774,275311,22950,2306,17961,48,16,65643,353,253255,177277,88246,53022
23,HIMACHAL PRADESH,Chamba,519080,261320,257760,479782,32455,1559,2745,1740,57,154575,353,364505,306555,130606,81566
24,HIMACHAL PRADESH,Kangra,1510075,750591,759484,1461140,19797,3023,8929,14511,194,271892,4902,1238183,766581,419172,319420
25,HIMACHAL PRADESH,Lahul AND Spiti,31564,16588,14976,11649,74,212,35,19572,3,6515,255,25049,15928,9181,6200
26,HIMACHAL PRADESH,Kullu,437903,225452,212451,415669,2974,1568,1396,15377,94,103136,384,334767,244727,120510,72282
27,HIMACHAL PRADESH,Mandi,999777,498065,501712,981412,9460,876,4081,2628,43,218570,1510,781207,524285,279321,194661
28,HIMACHAL PRADESH,Hamirpur,454768,217070,237698,449412,3711,243,591,95,293,72551,142,382217,224044,123941,106641
29,HIMACHAL PRADESH,Una,521173,263692,257481,480138,14275,390,26009,56,70,87735,241,433438,273223,142351,105358
30,HIMACHAL PRADESH,Bilaspur,381956,192764,189192,371973,6984,236,2387,113,10,65864,421,316092,193671,107367,80497
31,HIMACHAL PRADESH,Solan,580320,308754,271566,548579,14678,1452,13926,574,591,104084,811,476236,321533,167168,90808
32,HIMACHAL PRADESH,Sirmaur,529855,276289,253566,476830,33215,577,15501,2645,236,140486,301,389369,310244,136839,82471
33,HIMACHAL PRADESH,Shimla,814010,425039,388971,791449,11810,2025,4047,3262,185,137576,756,676434,425721,241956,145577
34,HIMACHAL PRADESH,Kinnaur,84121,46249,37872,64732,448,485,249,18086,29,16944,87,67177,42360,26599,15075
35,PUNJAB,Gurdaspur,2298323,1212617,1085706,1074332,27667,176587,1002874,405,580,478020,2248,1820303,1261421,611353,423301
36,PUNJAB,Kapurthala,815168,426311,388857,336124,10190,5445,453692,6662,553,174995,1680,640173,433331,222324,157833
37,PUNJAB,Jalandhar,2193590,1145211,1048379,1394329,30233,26016,718363,11385,4011,387809,1554,1805781,1159156,616431,416449
38,PUNJAB,Hoshiarpur,1586625,809057,777568,1000743,23089,14968,538208,3476,2034,294723,1431,1291902,831741,422782,330671
39,PUNJAB,Shahid Bhagat Singh Nagar,612310,313291,299019,401368,6829,1479,192885,5885,695,133275,2098,479035,318597,163305,128310
40,PUNJAB,Fatehgarh Sahib,600163,320795,279368,152851,16808,1698,427521,48,178,142314,1336,457849,321018,166781,111028
41,PUNJAB,Ludhiana,3498739,1867816,1630923,1502403,77713,16517,1863408,2007,19620,631980,2907,2866759,1901528,980046,614258
42,PUNJAB,Moga,995746,525920,469826,158414,9388,3277,818921,178,436,306336,6744,689410,535408,258826,194768
43,PUNJAB,Firozpur,2029074,1071637,957437,906408,6844,19358,1090815,454,1143,714869,586,1314205,1171770,525459,331259
44,PUNJAB,Muktsar,901896,475622,426274,254920,4333,1681,638625,240,744,340886,1804,561010,495167,242628,162297
45,PUNJAB,Faridkot,617508,326671,290837,141363,3125,1227,469789,155,1109,204895,2285,412613,336540,164962,113721
46,PUNJAB,Bathinda,1388525,743197,645328,380569,16299,2474,984286,246,1266,438529,608,949996,754927,377707,255283
47,PUNJAB,Mansa,769751,408732,361019,156539,10375,917,598443,123,1577,311513,2716,458238,420050,200882,146103
48,PUNJAB,Patiala,1895686,1002522,893164,783306,40043,5683,1059944,245,1914,518772,988,1376914,1042519,517079,335100
49,PUNJAB,Amritsar,2490656,1318408,1172248,690939,12502,54344,1716935,876,3152,540010,1980,1950646,1384987,667193,436496
50,PUNJAB,Tarn Taran,1119627,589369,530258,60504,3855,6095,1044903,101,650,381879,3209,737748,641875,283645,190898
